,Campaign,Teams,GP,W,D,L,F,A,GD,P
0,2021,NAP,13,10,2,1,26,7,19,32
1,2021,MIL,13,10,2,1,29,15,14,32
2,2021,INT,13,8,4,1,32,15,17,28
3,2021,ATA,13,7,4,2,27,17,10,25
4,2021,ROM,13,7,1,5,23,15,8,22
5,2021,LAZ,13,6,3,4,25,21,4,21
6,2021,FIO,13,7,0,6,20,17,3,21
7,2021,JUV,13,6,3,4,18,15,3,21
8,2021,VER,13,5,4,4,27,22,5,19
9,2021,BOL,13,5,3,5,19,24,-5,18
10,2021,TOR,13,5,2,6,17,13,4,17
11,2021,EMP,13,5,1,7,19,25,-6,16
12,2021,SAS,13,4,3,6,19,20,-1,15
13,2021,VEN,13,4,3,6,12,19,-7,15
14,2021,UDN,13,3,5,5,16,20,-4,14
15,2021,SAM,13,3,3,7,17,25,-8,12
16,2021,SPE,13,3,2,8,15,31,-16,11
17,2021,GEN,13,1,6,6,17,26,-9,9
18,2021,CAG,13,1,4,8,15,28,-13,7
19,2021,SAL,13,2,1,10,10,28,-18,7
20,2004,JUV,38,26,8,4,67,27,40,86
21,2004,MIL,38,23,10,5,63,28,35,79
22,2004,INT,38,18,18,2,65,37,28,72
23,2004,UDN,38,17,11,10,56,40,16,62
24,2004,SAM,38,17,10,11,42,29,13,61
25,2004,PAL,38,12,17,9,48,44,4,53
26,2004,Mes,38,12,12,14,44,52,-8,48
27,2004,ROM,38,11,12,15,55,58,-3,45
28,2004,LVO,38,11,12,15,49,60,-11,45
29,2004,LEC,38,10,14,14,66,73,-7,44
30,2004,REG,38,10,14,14,36,45,-9,44
31,2004,CAG,38,10,14,14,51,60,-9,44
32,2004,LAZ,38,11,11,16,48,53,-5,44
33,2004,SNA,38,9,16,13,44,55,-11,43
34,2004,CVO,38,11,10,17,32,49,-17,43
35,2004,FIO,38,9,15,14,42,50,-8,42
36,2004,BOL,38,9,15,14,33,36,-3,42
37,2004,PAR,38,10,12,16,48,65,-17,42
38,2004,BRE,38,11,8,19,37,54,-17,41
39,2004,ATA,38,8,11,19,34,45,-11,35
40,2005,INT,38,23,7,8,68,30,38,76
41,2005,ROM,38,19,12,7,70,42,28,69
42,2005,MIL,38,28,4,6,85,31,54,58
43,2005,CVO,38,13,15,10,54,49,5,54
